name,energy,diag,pca1,pca2,pca3
acetone_22_015,75.3685578,0.754,0.031347,0.042893,-0.018228
acetone_23_015,38.156049,0.378,0.807262,-0.582439,0.031937
acetone_23_015,0.578792,0.005,0.446379,0.506369,-0.454483
acetone_23_015,0.5727101,0.005,0.278029,0.457413,0.582302
acetone_23_015,0.5797676,0.005,0.251122,0.429459,-0.138212
acetone_23_015,37.9826209,0.378,0.030066,0.008897,0.343665
acetone_23_015,38.1541569,0.378,0.049812,0.03824,0.399998
acetone_23_015,0.5800334,0.005,0.045807,0.053614,0.392656
acetone_23_015,0.5795498,0.005,0.033338,0.044761,0.029776
acetone_23_015,0.57695,0.005,0.03344,0.048867,0.030748
acetone_23_015,75.3695172,0.754,0.031619,0.043431,-0.011501
acetone_3_015,38.1421473,0.378,0.806316,-0.585606,0.016114
acetone_3_015,0.5817437,0.005,0.451191,0.534472,-0.466522
acetone_3_015,0.5790164,0.005,0.275147,0.426011,0.599437
acetone_3_015,0.5827025,0.005,0.248598,0.425767,-0.067619
acetone_3_015,37.9786963,0.378,0.028772,0.005448,0.33822
acetone_3_015,38.1569856,0.378,0.050269,0.0276,0.391933
acetone_3_015,0.5793907,0.005,0.046273,0.043403,0.384973
acetone_3_015,0.5778467,0.005,0.033276,0.044319,0.032883
acetone_3_015,0.5782054,0.005,0.034033,0.045336,0.030189
acetone_3_015,75.3702127,0.754,0.031822,0.044138,0.000167
acetone_4_015,38.1558098,0.378,0.81316,-0.574093,0.030724
acetone_4_015,0.5765926,0.005,0.438133,0.503876,-0.436618
acetone_4_015,0.5743626,0.005,0.276111,0.462545,0.573842
acetone_4_015,0.5808443,0.005,0.249121,0.437777,-0.168546
acetone_4_015,37.9834996,0.378,0.029759,0.018865,0.360023
acetone_4_015,38.1553241,0.378,0.049347,0.037072,0.397959
acetone_4_015,0.5779119,0.005,0.045396,0.056531,0.400823
acetone_4_015,0.5800325,0.005,0.032279,0.044558,0.030743
acetone_4_015,0.5746994,0.005,0.03304,0.04549,0.027711
acetone_4_015,75.3689385,0.754,0.031558,0.044146,-0.018961
acetone_5_015,38.1565441,0.378,0.806563,-0.583228,0.042948
acetone_5_015,0.5778976,0.005,0.445783,0.499662,-0.467539
acetone_5_015,0.5774971,0.005,0.283282,0.479045,0.557403
