e,an,bnd1,ang1,cmdt1,cmdb1,cmod1,cmevs1,cmevl1,bnd2,cmdt2,cmdb2,cmod2,cmevs2,cmevl2,bnd3,cmdt3,cmdb3,cmod3,cmevs3,cmevlbnd3,bnd4,cmdt3,cmdb3,cmod3,cmevs3,cmevl3
38.1193458,6,1.087,118.3,36.858,0.500,5.520,-0.320,37.678,1.377,36.858,36.858,26.144,10.714,63.002,1.420,36.858,36.858,25.352,11.506,62.210,0,0,0,0,0,0
38.1214339,6,1.420,118.1,36.858,36.858,25.352,11.506,62.210,1.421,36.858,36.858,25.334,11.524,62.192,1.435,36.858,36.858,25.087,11.771,61.945,0,0,0,0,0,0
38.123118,6,1.417,116.6,36.858,36.858,25.406,11.452,62.264,1.427,36.858,36.858,25.228,11.630,62.086,1.435,36.858,36.858,25.087,11.771,61.945,0,0,0,0,0,0
38.1187957,6,1.084,118.9,36.858,0.500,5.535,-0.324,37.682,1.379,36.858,36.858,26.106,10.752,62.964,1.417,36.858,36.858,25.406,11.452,62.264,0,0,0,0,0,0
38.1217701,6,1.087,119.6,36.858,0.500,5.520,-0.320,37.678,1.379,36.858,36.858,26.106,10.752,62.964,1.414,36.858,36.858,25.460,11.398,62.318,0,0,0,0,0,0
0.581454,1,1.086,118.9,0.500,36.858,5.525,-0.321,37.679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5808913,1,1.087,119.6,0.500,36.858,5.520,-0.320,37.678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5812808,1,1.087,118.5,0.500,36.858,5.520,-0.320,37.678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.1208012,6,1.086,118.9,36.858,0.500,5.525,-0.321,37.679,1.377,36.858,36.858,26.144,10.714,63.002,1.421,36.858,36.858,25.334,11.524,62.192,0,0,0,0,0,0
38.0199729,6,1.371,108.5,36.858,73.517,35.011,15.669,94.706,1.381,36.858,36.858,26.068,10.790,62.926,1.427,36.858,36.858,25.228,11.630,62.086,0,0,0,0,0,0
